JUDUL,KELURAHAN,HARGA,LB,LT,KT,KM,GRS
Dijual rumah hook asri Bangunan di gudang peluru,Tidak Diketahui,6800000000,480,290,6,3,4
Rumah Tebet Timur Dalam Dekat Pspt dan stasiun tebet,Tebet Timur,6500000000,219,338,5,3,3
Rumah lama hitung tanah kb. Baru Tebet,Tidak Diketahui,3550000000,250,352,5,1,3
Siap Huni Depan Taman Tebet Dalam,Tidak Diketahui,4200000000,220,115,4,3,0
Rumah Dijual Di Tebet,Tidak Diketahui,9000000000,250,162,4,3,2
Rumah Tinggal Area Tebet,Tidak Diketahui,12000000000,385,404,4,3,0
Rumah Mewah Di Prime Area Tebet,Tidak Diketahui,12000000000,350,198,7,5,4
Rumah Bagus Siap Huni Dekat Casablanca. TERMURAH Di TEBET !,Tidak Diketahui,3500000000,300,190,6,6,3
Rumah Siap Huni Dan Tanah Kosong  Tebet Barat,Tebet Barat,15000000000,200,385,5,5,0
Rumah Lama Di Tebet. MURAH. Best Investment !,Tidak Diketahui,3850000000,160,224,4,3,1
Komplek Bukit Duri Permai,Bukit Duri,9800000000,759,319,4,4,4
Rumah Bagus Siap Huni JUAL CEPAT ! Tebet Utara,Tidak Diketahui,8900000000,300,300,5,4,2
Rumah Cantik Siap Huni Dalam Komplek. JUAL CEPAT ! Tebet Barat,Tebet Barat,4700000000,280,102,4,3,3
Rumah Baru Siap Huni. MURAH ! Tebet Barat,Tebet Barat,3050000000,173,89,3,4,2
Rumah Bagus Siap Huni FULL FURNISHED Di Dalam Komplek Tebet Barat,Tebet Barat,5750000000,250,121,4,4,2
Rumah Baru Dalam Komplek Tebet,Tidak Diketahui,4500000000,250,110,4,3,1
Rumah Tebet 2 lantai,Tidak Diketahui,6500000000,117,205,5,4,0
Rumah tebet ada ruang usaha jakarta selatan,Tidak Diketahui,13000000000,500,400,6,3,2
good unit house tebet jakarta,Tidak Diketahui,7300000000,500,325,5,5,1
Rumah Tebet Timur,Tebet Timur,2900000000,125,135,5,2,1
Rumah Tebet Timur,Tebet Timur,8000000000,278,278,7,3,2
Rumah Cantik Jalan 2 Mobil Tebet,Tidak Diketahui,6250000000,240,180,7,5,0
Dekat Stasiun Tebet Dan Mega Kuningan,Tidak Diketahui,8750000000,300,322,4,4,2
4 Bedrooms House Tebet,Tidak Diketahui,5500000000,360,140,4,4,2
Rumah Di Jual Tebet Barat,Tebet Barat,16500000000,700,550,6,6,1
good unit house tebet jakarta,Tidak Diketahui,1100000000,63,300,3,1,1
Rumah Bagus Siap Huni Ada S. Pool Di Tebet,Tidak Diketahui,15000000000,700,700,5,3,4
Rumah Baru Spec Premium Semifurnished,Tidak Diketahui,6900000000,250,125,3,2,2
Dijual Cepat rumah 3 lantai di Tebet,Tidak Diketahui,7500000000,500,280,5,4,1
Rumah minimalis tebet jalan 3 mobil,Tidak Diketahui,5800000000,220,141,4,4,3
Rumaha mewah siap huni tebet,Tidak Diketahui,14500000000,400,307,3,3,4
Rumah Minimalis Siap Huni Tebet,Tidak Diketahui,4500000000,200,146,4,4,2
5 Bedrooms House Tebet,Tidak Diketahui,17000000000,600,550,5,6,6
Dijual Rumah Tebet Dekat Dengan Jalan 2 Mobil Beda 1 Rumah..!!,Tidak Diketahui,2950000000,150,134,3,2,1
Rumah Hitung Tanah Tebet Jalan 1 Mobil,Tidak Diketahui,3000000000,150,150,3,2,1
Dijual Cepat Rumah Strategis Tebet Timur,Tebet Timur,2000000000,80,90,2,1,1
Jual Cepat Rumah Mewah di Tebet Jakarta Seatan,Tidak Diketahui,8500000000,300,325,5,3,2
Rumah Cantik Di Tebet Jakarta Selatan,Tidak Diketahui,7000000000,280,220,4,3,4
Dijual Cepat Rumah lama layak huni di Tebet,Tidak Diketahui,9800000000,400,350,4,5,1
Rumah Siap Huni Di Tebet Lokasi Sangat Strategis Sekali,Tidak Diketahui,3000000000,150,90,3,2,1
Rumah Mewah Kampung Melayu Jual Murah Bawah Pasaran,Tidak Diketahui,5500000000,200,250,4,3,3
Rumah Lama Terawat Di Tebet Timur,Tebet Timur,4850000000,300,265,4,3,0
Rumah Baru Renovasi Di Tebet Utara,Tidak Diketahui,3200000000,150,135,5,2,1
Rumah Baru Dekat Kawasan Tebet jakarta selatan,Tidak Diketahui,6700000000,390,130,7,6,3
Dijual Rumah Komplek Depkeu Menteng Tebet Jakarta Selatan,Tidak Diketahui,17000000000,360,606,8,3,1
Rumah hitung tanah di kebon baru Tebet Jakarta Selatan,Kebon Baru,9200000000,650,695,6,8,1
Rumah Minimalis Bagus Prime Area Tebet Barat,Tebet Barat,6900000000,250,160,3,4,1
Rumah Kos Tebet,Tidak Diketahui,3800000000,250,145,8,8,0
Tebet Rumah Hitung Tanah Siap Bangun Linkungan Aman dan Nyaman,Tidak Diketahui,3600000000,120,139,5,3,1
Tebet Rumah Hitung Tanah Dekat Taman,Tidak Diketahui,1700000000,80,90,2,2,1
Rumah dijual di tebet,Tidak Diketahui,2900000000,133,126,3,2,1
Rumah Siap Huni Ditebet Jual Cepat,Tidak Diketahui,1900000000,120,90,3,2,1
Rumah Tebet Soepomo Komplek Keuangan,Tidak Diketahui,17000000000,390,608,9,3,5
Rumah Murah Tanah Luas Siap Huni Di Asem Baris Tebet Jakarta Selatan,Tidak Diketahui,7000000000,500,428,6,6,4
Rumah Dan Kos-Kosan Di Tebet Barat,Tebet Barat,3300000000,200,145,8,8,2
Rumah Baru Minimalis 2 Lantai Siap Huni di Tebet Jakarta,Tidak Diketahui,7150000000,250,162,4,3,2
Murah Dibawah Pasaran,Tebet Timur,8500000000,283,306,5,4,1
Rumah Murah 2 Lantai Tebet,Tidak Diketahui,600000000,60,30,2,1,0
Dijual Rumah Brand New Siap Huni Harga Murah Dengan Tanah Luas Di Tebet Barat,Tebet Barat,17000000000,450,310,4,4,4
Rumah Minimalis Murah Dekat Stasiun Tebet Jakarta Selatan,Tidak Diketahui,2750000000,121,100,4,3,1
Dijual Rumah Tebet Barat Lokasi Premium Nyaman Jalan 1 Mobil,Tebet Barat,3000000000,224,124,3,3,1
Rumah Cantik Minimalis Di Tebet,Tidak Diketahui,6500000000,300,200,5,4,4
Rumah tebet timur dalam jalan 1 mobil dekat 2 mobil,Tebet Timur,5900000000,272,311,4,4,5
Rumah 2 Lantai di Kebon Baru Tebet Jakarta Selatan,Kebon Baru,2400000000,147,154,3,2,0
Rumah Baru Bagus,Tidak Diketahui,4800000000,325,226,4,4,3
DIJUAL CEPAT Rumah 2 LANTAI SIAP PAKAI MURAH SEKALI @Tebet,Tidak Diketahui,6500000000,250,180,8,5,2
Rumah Ditebet Utara Tebet Jakarta Selatan,Tidak Diketahui,6500000000,250,181,8,6,1
Dijual Rumah Di Tebet,Tidak Diketahui,3195000000,150,135,3,3,1
Rumah Bagus Di Asem Baris - Tebet,Tidak Diketahui,5000000000,320,150,7,6,2
Rumah Bagus Di Asem Baris - Tebet,Tidak Diketahui,10000000000,380,230,6,4,0
DIJUAL RUMAH di Jl. Asem Baris Tebet,Tidak Diketahui,2200000000,226,95,5,3,2
Rumah Mewah design Klasik,Tebet Barat,14800000000,500,310,4,4,4
Di Jual Show Unit Tebet Jakarta Selatan,Tidak Diketahui,2700000000,72,72,4,4,0
Dijual cepat murah BU rumah lama strategis di tebet jakarta selatan,Tidak Diketahui,3000000000,100,139,3,2,1
DIJUAL CEPAT Rumah 2 Lantai SIAP HUNI & MURAH JARANG ADA di Tebet,Tidak Diketahui,6500000000,250,180,8,5,2
Tebet - Dijual Rumah Dalam Kompleks Gudang Peluru,Tidak Diketahui,7500000000,180,200,5,4,1
Rumah Siap Huni,Tidak Diketahui,5000000000,250,217,3,3,1
Jual cepat Rumah Besar di Tebet Timur,Tebet Timur,3250000000,300,153,8,7,2
Rumah Kost Bisa Untuk Huni Di Tebet Barat Dalam Dekat Mt. Haryono,Tebet Barat,3300000000,200,130,9,3,1
TEBET Rumah Lingkungan Nyaman dan Aman Dekat Taman,Tidak Diketahui,4500000000,200,180,4,3,1
TEBET Rumah Brand New Depan Taman Jalan Dua Mobil Lebar,Tidak Diketahui,7200000000,250,161,3,3,2
Menteng Dalam - Tebet Akses Jalan 2 Mobil Dekat Asisi,Menteng Dalam,2800000000,150,102,3,3,1
Tebet Rumah Brand New Akses Jalan 2 Mobil,Tidak Diketahui,4500000000,250,96,5,4,2
Dijual Cepet Rumah Siap Huni Tebet,Tidak Diketahui,2700000000,100,130,5,2,2
Dijual Rumah Minimalis Tebet Timur Lokasi Premium Bisa Untuk Kantor Jalan Raya,Tebet Timur,9500000000,250,189,4,3,2
Rumah Siap huni 3 lantai dalam komplek Tebet,Tidak Diketahui,5500000000,147,107,6,4,1
Kebon Baru Rumah Nyaman Siap Huni,Kebon Baru,1500000000,120,90,3,2,1
Rumah Secondary tanah luas strategis asem baris Tebet,Tidak Diketahui,7000000000,500,428,8,6,4
Tebet rumah murah prime location,Tidak Diketahui,3500000000,210,170,5,3,2
Rumah brand new area Tebet Barat,Tebet Barat,4950000000,225,110,5,4,2
Dijual rumah baru di tebet jakarta selatan,Tidak Diketahui,1980000000,164,72,4,2,2
BrandNew Siap Huni Parkir 3 Mobil Tebet Utara,Tidak Diketahui,6500000000,250,125,3,3,3
Rumah Tebet Dalam,Tidak Diketahui,3500000000,178,150,3,2,2
Rumah Lama Terawat BU Tebet,Tidak Diketahui,1800000000,105,90,3,2,1
Rumah Lama Terawat lokasi bagus dekat MT.Haryono,Tidak Diketahui,13000000000,350,248,4,4,1
Tebet Rumah Lama Terawat,Tidak Diketahui,3100000000,225,156,4,3,2
Brand New Rumah Strategi Soho Tebet,Tidak Diketahui,4750000000,180,137,4,4,2
4 Bedrooms House Tebet,Tidak Diketahui,2599000000,160,90,4,2,1
Dijual Rumah Komplek Gudang Peluru Hitung Tanah Lokasi Premium Tenang Jalan 2 Mobil,Tidak Diketahui,6250000000,200,320,4,3,2
Rumah Siap Huni Di Tebet,Tidak Diketahui,3000000000,150,135,3,1,1
KOMPLEK ELITE GUDANG PELURU - Rumah Besar Siap Huni,Tidak Diketahui,6550000000,350,270,5,4,2
Rumah Asem Baris,Tidak Diketahui,5000000000,320,150,7,6,1
Rumah Baru Lux Di Tebet Barat,Tebet Barat,16000000000,525,330,4,4,3
Dijual Rumah Tebet Timur Layak Huni Lokasi Premium Nyaman Jalan Lebar,Tebet Timur,7100000256,200,265,6,3,3
Dijual Murah Rumah Hitung Tanah Tebet Timur Lokasi Strategis Jalan 1 Mobil,Tebet Timur,2300000000,144,135,4,2,2
Dijual Rumah 2 Lantai Lokasi Strategis Siap Huni di Asembaris Tebet,Tidak Diketahui,7500000000,500,428,6,4,4
Rumah tebet jakarta selatan,Tidak Diketahui,5500000000,410,205,4,4,2
Rumah Bagus Minimalis Luas Dan Murah Di Asem Baris Tebet Jaksel,Tidak Diketahui,2300000000,150,132,4,3,1
Dekat Stasiun Tebet Dan Jalan Mt Hariyono Dan RS.Umum,Tidak Diketahui,15000000000,237,387,5,4,2
Dijual Rumah Tebet Brand New Lokasi Strategis Jalan 1 Mobil,Tidak Diketahui,3500000000,140,90,3,3,2
Rumah tebet timur dalam jalan 2 mobil,Tebet Timur,5900000000,140,107,3,3,3
Rumah Tebet Dalam Jalan 1 mobil dekat 2 mobil,Tidak Diketahui,3000000000,62,90,5,3,0
Rumah Tebet Barat Dalam,Tebet Barat,2900000000,120,137,5,2,1
Tebet Akses Jalan 2 Mobil Dekat Taman Cocok Untuk Hunian,Tidak Diketahui,6000000000,350,220,5,5,2
Rumah siap huni 3 lantai di Tebet Jakarta Selatan,Tidak Diketahui,5500000000,147,107,6,4,2
DIJUAL RUMAH di TEBET TIMUR Jakarta Selatan,Tebet Timur,3700000000,350,180,4,3,1
Rumah Siap Huni Jalan Lebaaarrr Tebet Barat,Tebet Barat,6250000000,150,150,3,3,2
Rumah Murah Di Tebet Timur Dalam,Tebet Timur,3700000000,150,139,5,3,1
Rumah Mewah di Tebet Jakarta Selatan,Tidak Diketahui,7300000000,300,325,5,4,6
Rumah Cantik 2 Lantai,Tebet Timur,6950000000,150,190,4,4,2
Dijual Rumah Hook Baru Tebet Timur Jakarta Selatan Lokasi Aman Tidak Banjir Dekat Pasar PSPT,Tebet Timur,3400000000,190,110,5,6,2
Dijual Rumah Baru Siap Huni di Tebet Barat,Tebet Barat,3300000000,120,90,3,3,2
Dijual rumah di tebet siap huni,Tidak Diketahui,2700000000,170,88,5,4,0
Dijual Rumah Lux Brandnew,Tidak Diketahui,6700000000,390,130,4,5,2
Dijual Rumah Di Tebet,Tidak Diketahui,12000000000,400,312,4,4,2
Di Jual Rumah Murah Di Tebet,Tidak Diketahui,1500000000,200,170,7,2,0
Rumah lama siap bangun di jalan 1 mobil Tebet Timur,Tebet Timur,2350000000,130,130,4,3,1
Tebet Rumah Lama Jalan 2 Mobil,Tidak Diketahui,3400000000,100,139,6,4,2
Rumah Minimalis Modern 2 Lantai Nan Mewah Dekat Mall Basurra City,Tidak Diketahui,3000000000,200,150,5,4,2
Dijual Rumah Di Tebet,Tidak Diketahui,5000000000,328,150,7,6,2
Dijual rumah siap huni di Tebet,Tidak Diketahui,4000000000,250,154,6,3,2
Dijual rumah siap huni di Tebet,Tidak Diketahui,2300000000,107,54,3,2,1
DIJUAL RUMAH DI TEBET,Tidak Diketahui,4500000000,230,180,4,4,1
Dijual rumah di Tebet,Tidak Diketahui,4400000000,200,195,7,2,2
Dijual rumah di Tebet Timur,Tebet Timur,4500000000,150,179,3,2,1
Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 1 Mobil Lebar,Tidak Diketahui,2800000000,100,130,3,2,2
Dijual Rumah Komplek Gudang Peluru Tebet Lokasi Premium Nyaman Jalan 1 Mobil,Tidak Diketahui,3800000000,178,239,4,3,4
Dijual rumah di TEBET - BANGUNAN TERAWAT DAN KOKOH DI JALAN 3 MOBIL,Tidak Diketahui,15000000000,450,475,5,5,5
Rumah Tanjung Duren,Tidak Diketahui,3500000000,135,101,4,2,2
RUmah Bagus Pinggir Jalan Lokasi Strategis Di Tebet Jakarta Selatan,Tidak Diketahui,5500000000,170,270,6,3,1
Dijual cepat murah BU rumah lama strategis di tebet jakarta selatan,Tidak Diketahui,2900000000,100,139,3,2,2
Rumah Daerah Gudang Peluru Murah,Tidak Diketahui,10000000000,600,400,4,3,0
Dijual cepat murah rumah lama strategis di tebet kuningan jakarta selatan,Tidak Diketahui,4340000000,100,124,3,2,2
Dijual Rumah Siap Huni 3 lantai di Tebet Jakarta Selatan,Tidak Diketahui,2900000000,150,60,4,4,1
Dijual Rumah Minimalis di tebet timur area strategis,Tebet Timur,3200000000,150,92,4,4,2
Rumah Strategis Tebet Timur Akses 1 Mobil & Stasiun Cawang,Tebet Timur,6500000000,272,311,5,5,0
Rumah Murah Dan Strategis Dekat Mall Casablanca Di Tebet Dalam Jaksel,Tidak Diketahui,3500000000,210,172,5,2,2
Rumah daerah Tebet,Tidak Diketahui,7500000000,250,315,3,3,2
Tebet Rumah Dekat Lapangan Bola Siap Huni,Tidak Diketahui,2950000000,135,133,4,3,1
Rumah untuk Investasi di Kawasan Tebet,Tidak Diketahui,5500000000,225,326,7,2,0
5 Bedrooms House Tebet,Tidak Diketahui,9000000000,350,305,5,5,3
4 Bedrooms House Tebet,Tidak Diketahui,2500000000,120,135,4,2,1
Brand New Minimalis Tebet Dengan Lokasi Strategis Dijual Cepat,Tidak Diketahui,3100000000,172,90,4,3,2
Dijual cepat dan murah rumah lama strategis di Tebet Jakarta Selatan,Tidak Diketahui,3500000000,200,231,4,3,2
Dijual rumah di Tebet,Tidak Diketahui,12000000000,480,312,4,2,1
Dijual Rumah Tebet Timur Lokasi Premium Cocok Untuk Usaha Jalan Lebar,Tebet Timur,7000000000,330,187,7,4,2
Dijual Rumah,Tidak Diketahui,6500000000,148,150,4,3,3
Rumah di tebet timur dalam,Tebet Timur,4500000000,200,148,4,3,1
Rumah Tua Di Tebet Jalan Depan Dua Mobil,Tidak Diketahui,7000000000,180,253,3,2,2
Tebet Rumah Tinggal,Tidak Diketahui,2300000000,140,77,4,3,1
Dijual rumah di Tebet,Tidak Diketahui,8750000000,250,200,5,4,2
Jual Rumah Mewah Siap Huni Strategis di Tebet Jakarta Selatan,Tidak Diketahui,8800000000,400,230,5,5,3
Dijual Rumah di Tebet Jakarta Selatan,Tidak Diketahui,3800000000,250,186,4,3,0
Townhouse Bidakara,Tidak Diketahui,13000000000,600,208,4,5,4
Dijual Rumah tua di tebet barat,Tebet Barat,1800000000,90,84,3,2,0
TEBET TIMUR (HOOK) - RUMAH BARU SIAP HUNI,Tebet Timur,13500000000,350,278,6,4,0
Tebet Dijual Rumah cantik 2 lantai semi furnished dan lay out nya bagus,Tidak Diketahui,7100000000,280,241,5,4,3
Tebet Dijual Rumah Siap Huni dan tanah kosong,Tidak Diketahui,8500000000,200,385,5,5,0
Rumah di depan taman di tebet utara,Tidak Diketahui,3000000000,139,150,3,3,1
Dijual rumah Tebet 2 lantai. akses strategis,Tidak Diketahui,3600000000,150,135,5,3,3
Rumah Tebet Jakarta Selatan,Tidak Diketahui,750000000,100,78,3,1,0
Rumah Tebet Barat Jakarta,Tebet Barat,3500000000,160,118,4,4,2
Rumah Bagus siap huni akses 2 mobil daerah Tebet Jakarta Selatan,Tidak Diketahui,8500000000,245,240,3,5,2
3 Bedrooms House Tebet,Tidak Diketahui,1600000000,150,90,3,2,1
Rumah 2 lantai di Jalan Sawo Kecik Raya,Bukit Duri,5500000000,424,311,5,4,4
Rumah Bagus Cakep Dikawasan Elit Tebet Jaksel,Tidak Diketahui,8000000000,260,306,5,4,2
Dijual Rumah Tinggal Siap Huni Di Tebet lokasi strategis dan premium di Jakarta Selatan,Tidak Diketahui,12500000000,480,312,4,2,1
Rumah Terawat Siap Huni Di Tebet,Tidak Diketahui,7500000000,350,220,4,5,1
4 Bedrooms House Tebet,Tidak Diketahui,3000000000,300,110,4,3,1
Tebet Rumah Lama Dijalan Lebar Dengan Lokasi Strategis Jual Cepat,Tidak Diketahui,15000000000,300,260,4,3,4
RUMAH TOWN HOUSE CANTIK TEBET,Tidak Diketahui,3900000000,220,135,4,4,1
Dijual Rumah Hitung Tanah Tebet Lokasi Strategis Nyaman Jalan 2 Mobil,Tidak Diketahui,6000000000,210,203,5,3,1
Rumah Di Tebet,Tidak Diketahui,3000000000,150,90,4,5,1
Brand New Minimalis Tebet Jalan Lebar Depan Taman Dijual Cepat,Tidak Diketahui,5000000000,180,107,6,5,2
DIJUAL Cepat Rumah Cantik minimalis 2 lantai di Tebet,Tidak Diketahui,850000000,56,56,4,2,0
Dijual Rumah Cantik Kebon Baru Lokasi Strategis Nyaman Jalan 2 Mobil,Kebon Baru,2500000000,140,135,4,3,1
Town House Menteng Dalam,Menteng Dalam,2900000000,150,120,2,2,0
NEW TOWNHOUSE WITH PRIVATE POOL AT BIDAKARA TEBET JAKARTA SELATAN,Tidak Diketahui,12500000000,600,208,4,5,4
Rumah Siap Huni Tebet Jalan 2 Mobil Dijual Cepat,Tidak Diketahui,3000000000,160,140,4,3,1
Rumah bagus siap huni dengan lokasi strategis dekat dengan supomo dan casablanca di jalan 1 mobil,Tidak Diketahui,4750000000,200,150,5,5,2
Rumah Termurah Akses Jalan 2 Mobil Luas Tanah 268 M Di Tebet Barat,Tebet Barat,6900000000,400,268,5,4,3
For Sale Single House at Tebet & Condition Semi Furnished HSE-A0330,Tidak Diketahui,10000000000,300,368,4,4,3
Rumah Bagus Dan Elite Di Kawasan Tebet Yang Pretigous,Tidak Diketahui,6700000000,250,125,3,3,3
Tebet Dijual Rumah Tinggal asri . nyaman. Tenang,Tidak Diketahui,9000000000,350,300,4,4,0
4 Bedrooms House Tebet,Tidak Diketahui,2800000000,200,110,4,3,2
5 Bedrooms House Tebet,Tidak Diketahui,3000000000,180,135,5,4,3
Rumah Minimalis bagus Tebet Utara,Tidak Diketahui,4100000000,220,110,4,3,2
Rumah Siap Huni Di Tebet Dalam Jakarta Selatan,Tidak Diketahui,3500000000,162,149,4,2,2
Rumah Dekat Jalan Utama Bukitduri,Tidak Diketahui,2000000000,128,148,4,3,2
Dijual murah,Tebet Timur,9500000000,380,386,7,4,4
Dijual sangat murah rumah baru daerah tebet,Tidak Diketahui,4600000000,250,151,5,3,4
Dijual cepat rumah Tebet timur jakarta selatan,Tebet Timur,6000000000,168,221,5,3,2
Brand New Minimalis 3 Lantai Tebet Dijual Cepat,Tidak Diketahui,2350000000,160,80,4,3,1
Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil,Tebet Barat,2600000000,140,84,3,2,1
Rumah Siap Huni Di Lokasi Premium Tebet Barat Dalam,Tebet Barat,9000000000,300,287,4,3,1
Rumah Cantik Minimalis Tebet,Tidak Diketahui,2600000000,150,90,3,2,1
rumah tebet dalam,Tidak Diketahui,12000000000,470,270,5,4,1
Rumah Baru Minimalis Tebet,Tidak Diketahui,2700000000,90,78,3,2,0
Cluster Baru Minimalis Modern Jaya Mandala Tebet Jakarta Selatan,Tidak Diketahui,14500000000,600,208,4,4,2
Rumah di Kasablangka,Tidak Diketahui,3750000000,127,180,4,4,2
Rumah Mewah Murah Dalam Komplek Di Tebet,Tidak Diketahui,6000000000,325,225,7,5,2
Rumah Standard Hitung Tanah Di Tebet Dalam Jakarta Selatan,Tidak Diketahui,7500000000,150,253,5,2,0
Rumah Standard Di Tebet Dalam Jakarta Selatan,Tidak Diketahui,5200000000,300,260,7,3,1
Rumah Strategis Siap Huni Di Raya Tebet Jakarta Selatan,Tidak Diketahui,4900000000,250,266,3,2,1
Rumah Tua Strategis Di Tebet Raya Jakarta Selatan,Tidak Diketahui,17500000000,750,724,4,2,3
Rumah Mewah Hook Siap Huni Dan Terawat Di Gudang Peluru Tebet,Tidak Diketahui,10900000000,646,428,5,5,6
Rumah Cantik Dan Luas Di Tebet Jakarta Selatan,Tidak Diketahui,9000000000,300,388,4,3,1
Rumah Strategis Di Tebet Jakarta Selatan,Tidak Diketahui,6500000000,168,221,5,2,1
5 Bedrooms House Tebet,Tidak Diketahui,6000000000,300,150,5,4,2
Rumah Murah Tebet,Tidak Diketahui,3300000000,120,90,4,4,1
Rumah 2 Lantai di Tebet,Tidak Diketahui,1100000000,100,50,2,1,0
Rumah di Tebet,Tidak Diketahui,5000000000,410,205,3,3,1
Tebet Rumah lama hitung tanah,Tidak Diketahui,2500000000,100,150,3,2,0
Rumah Tebet Barat Dalam,Tebet Barat,3500000000,160,118,4,4,2
4 Bedrooms House Tebet,Tidak Diketahui,3000000000,160,90,4,3,1
Rumah Baru Hook Modern Minimalis Strategis Siap Huni Di Tebet Timur,Tebet Timur,3300000000,180,110,4,4,2
Rumah Di Tebet Timur Dalam,Tebet Timur,4400000000,250,130,4,3,2
Rumah Asri Di Tebet Timur Tebet Jakarta Selatan,Tebet Timur,4250000000,200,150,5,3,4
Rumah Siap Huni Tebet Raya,Tidak Diketahui,11000000000,275,305,5,3,1
Dijual rumah di tebet timur 2 lantai,Tebet Timur,3000000000,120,90,4,4,1
Dijual rumah di tebet barat,Tebet Barat,2500000000,140,88,4,3,0
Rumah Siap Huni Jalanan 3 Mobil Di Tebet,Tidak Diketahui,8800000000,150,205,5,2,2
TERJUAL Tebet Rumah Siap Huni Jalan Dua Mobil 300 Meter dari Mt Haryono,Tidak Diketahui,5500000000,300,248,5,4,3
3 Bedrooms House Tebet,Tidak Diketahui,2200000000,160,100,3,2,1
5 Bedrooms House Tebet,Tidak Diketahui,6000000000,250,170,5,5,3
4 Bedrooms House Tebet,Tidak Diketahui,7000000000,300,240,4,3,4
Rumah Bagus 2 Lantai,Tidak Diketahui,10500000000,500,345,6,4,2
Dijual Rumah Luas di Tebet Jakarta Selatan,Tidak Diketahui,3500000000,335,140,5,4,0
Rumah Mewah 2 Lt Design Apik di Tebet Barat,Tebet Barat,6000000000,350,210,5,5,1
Rumah Tebet Barat,Tebet Barat,3800000000,150,130,3,2,1
Rumah Murah Minimalis Di Tebet Timur,Tebet Timur,5500000000,250,140,5,3,1
Dijual rumah murah dan cepat aja di Kebon Baru,Kebon Baru,2500000000,200,122,4,2,1
Rumah second bangunan kokoh dan terawat dalam komplek Gudang Peluru,Tidak Diketahui,7500000000,480,290,5,3,2
Rumah Mewah di Menteng Dalam - Tebet,Menteng Dalam,6800000000,375,130,4,5,4
Rumah Mewah di Tebet,Tidak Diketahui,12500000000,480,312,4,3,2
Jl. Tebet Raya,Tidak Diketahui,9500000000,300,368,5,4,2
Dijual rumah Tebet Jakarta Selatan,Tidak Diketahui,6000000000,150,200,5,4,2
Dijual Segera Rumah Tebet Timur Jakarta Selatan,Tebet Timur,3500000000,240,130,5,6,2
Dijual rumah di Tebet,Tidak Diketahui,9000000000,350,305,4,4,3
Dijual rumah siap huni di Tebet,Tidak Diketahui,8000000000,350,178,8,6,2
Rumah Brand New Posisi Depan Tama Di Tebet Barat,Tebet Barat,9700000000,450,248,5,6,1
Rumah Tebet Timur Dalam - RSH,Tebet Timur,3600000000,100,130,3,3,0
4 Bedrooms House Tebet,Tidak Diketahui,4200000000,180,120,4,3,2
Rumah tebet barat dalam,Tebet Barat,9000000000,350,240,6,4,3
Rumah Minimalis di Tebet,Tidak Diketahui,950000000,130,92,4,2,0
Dijual Rumah Di Tebet Barat,Tebet Barat,16450000000,700,550,6,6,0
Dijual Rumah Di Tebet Lokasi Bagus,Tidak Diketahui,7500000000,320,360,7,4,0
Rumah Di Tebet,Tidak Diketahui,8700000000,375,265,5,4,4
Rumah Siap Huni Di Tebet Akses Mudah Dekat Ke Supomo Pancoran,Tidak Diketahui,3500000000,230,150,5,4,2
Rumah Second di Kebon Baru Tebet Jakarta Selatan,Kebon Baru,13000000000,800,370,6,5,4
Town House di Tebet Jakarta Selatan,Tidak Diketahui,3750000000,120,150,2,2,2
Good House Tebet,Tidak Diketahui,10000000000,450,750,8,6,1
Rumah Bagus di Daerah Tebet,Tidak Diketahui,1600000000,80,80,4,3,1
Tebet Rumah Mewah Minimalis 2 Lantai,Tidak Diketahui,4500000000,320,146,5,5,3
Rumah Di Tebet Dalam Akses 2 Mobil Besar,Tidak Diketahui,13500000000,235,256,3,2,2
3 Bedrooms House Tebet,Tidak Diketahui,2000000000,100,90,3,2,1
Tebet Rumah Bagus Minimalis Modern,Tidak Diketahui,9000000000,211,234,7,5,4
Rumah mewah baru minimalia di Tebet utara,Tidak Diketahui,5800000000,280,170,5,4,2
4 Bedrooms House Tebet,Tidak Diketahui,3200000000,160,135,4,3,1
Rumah Kebon Baru,Kebon Baru,2400000000,154,147,3,2,1
Rumah Tebet Siap Huni Jalan 2 Mobil,Tidak Diketahui,6750000000,350,210,4,4,2
Tebet Rumah Classic,Tidak Diketahui,2400000000,75,101,2,1,2
Dijual Rumah Tebet Barat Lokasi Strategis Nyaman Jalan 1 Mobil,Tebet Barat,3100000000,150,95,3,3,2
Rumah siap huni di Tebet,Tidak Diketahui,11000000000,399,384,4,4,0
Rumah seken di Asem baris dekat St. cawang,Tidak Diketahui,650000000,50,55,2,1,0
Komplek telkom kebon baru,Kebon Baru,5750000000,350,240,7,5,0
Dijual Rumah Di Tebet Jakarta Selatan 3 Kmr 150m2 Nyaman Harga Best,Tidak Diketahui,2800000000,150,90,3,3,1
Rumah Baru Tebet,Tidak Diketahui,3200000000,170,90,4,4,0
Rumah TEBET,Tidak Diketahui,1600000000,80,80,4,3,0
Rumah Lama Tebet Timur Dalam,Tebet Timur,2400000000,100,130,4,2,1
Rumah Mewah 3 Lantai di Tebet Jakarta Selatan,Tidak Diketahui,6000000000,450,260,7,4,0
Rumah Minimalis Clasik Tebet Barat,Tebet Barat,4500000000,251,106,4,3,2
